Vernacular title,Title,Durable link to Database,Collection,Title (uniform),Attribution,Author / Creator,Variant title,Finding aids,Edition,Published,Publication info,Description,Series / collection,Series (transcribed),Coverage date,History note,Summary,Language,Notes,Audience,Subjects,Cite As,Subject place,Med. subject,Keyword,Instrumentation,Style / period,Form / genre,Culture,Place,Associated place,Author / Creator,Creator characteristics,Contents,Is Part Of,In,Other title,Other title,Related titles,Attributes,Identifier,Linking notes,Related work,Related information,Associated Name,Use restrictions,Copyright,Repository,Includes layers,Collection,Creation Date,HOLLIS number,Permalink,Source,Other search terms,Image creator,Image title,Image date,Image materials,Image dimensions,Image note,Image type,Image subject,Image classification,Image associated name,Image copyright,Image ID,Harvard repository,Course Information,Permalink
,"A discourse on slavery in the United States, delivered in Brooklyn, July 3, 1831",,,,By Samuel J. May.,"May, Samuel J. (Samuel Joseph), 1797-1871.  ",,,,"Boston, Garrison and Knapp, 1832.",,"29 p., 1 ℓ. ; 25 cm.",Slavery and anti-slavery: a transnational archive  ,,,,,English,,,Slavery -- United States -- Controversial literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1832,990017350270203941,"<a href=""http://id.lib.harvard.edu/alma/990017350270203941/catalog"">http://id.lib.harvard.edu/alma/990017350270203941/catalog</a>",HVD - Core; HVD - Core,Crimes against humanity,,,,,,,,,,,,,,,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA512258432110003941
,"Thoughts on slavery, rebutted by other thoughts on the same subject",,,,"being a review of a pamphlet issued from the press of Daniel Bixby & Co., Lowell, Mass., 1848.",,,,,"Lowell : Published by Milton Bonney, 1849.",,44 p. ; 23 cm.,,,,,,English,,,Slavery -- United States -- Controversial literature,,,,,,,,,<i>Hierarchical: </i>United States -- Massachusetts -- Lowell ,,,,,,,,,,,,,,,,,,,,,1849,990067366240203941,"<a href=""http://id.lib.harvard.edu/alma/990067366240203941/catalog"">http://id.lib.harvard.edu/alma/990067366240203941/catalog</a>",HVD - Core,Crimes against humanity,,,,,,,,,,,,,,,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA211983574620003941
,Two sermons on the kind treatment and on the emacipation of slaves,,,,"Preached at Mobile, on Sunday the 10th, and Sunday the 17th of May, 1840. With a prefatory statement. By Geo. F. Simmons.","Simmons, George F. (George Frederick), 1814-1855.  ",,,,"Boston, W. Crosby, 1840.",,30 p. 23 cm.,,,,,,English,,,Slavery -- United States -- Controversial literature; Slaves -- United States -- Social conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840,990037309850203941,"<a href=""http://id.lib.harvard.edu/alma/990037309850203941/catalog"">http://id.lib.harvard.edu/alma/990037309850203941/catalog</a>",HVD - Core,Crimes against humanity,,,,,,,,,,,,,,,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA211884555540003941
,"Address of the Hon. Edward Everett at the anniversary of the American Colonization Society, Washington City, January 18, 1853",,,,,"Everett, Edward, 1794-1865.  ",,,,"[Boston? Mass.] : Massachusetts Colonization Society, [1853] ([Boston, Mass.] : T.R. Marvin)",,12 p. ; 24 cm.,,,,,,English,"Caption title.; Published also in the Colonization herald, and in the 36th Annual report of the American Colonization Society.",,Slavery -- United States -- Controversial literature -- 1853; African Americans -- Colonization -- Africa,,,,,,,,,,,Massachusetts Colonization Society. ,,,,,,,,,,,,,,,,,,,[1853],990051526470203941,"<a href=""http://id.lib.harvard.edu/alma/990051526470203941/catalog"">http://id.lib.harvard.edu/alma/990051526470203941/catalog</a>",HVD - Core,Crimes against humanity,,,,,,,,,,,,,,,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA211931060600003941
,"An address delivered in Marlboro' chapel, Boston, July 4, 1838",,,,By Wm. Lloyd Garrison.,"Garrison, William Lloyd, 1805-1879.  ",,,,"Boston : I. Knapp, 1838.",,48 p. 17 cm.,Slavery and anti-slavery: a transnational archive  ,,,,,English,,,Slavery -- United States -- Controversial literature; Fourth of July orations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1838,990049419810203941,"<a href=""http://id.lib.harvard.edu/alma/990049419810203941/catalog"">http://id.lib.harvard.edu/alma/990049419810203941/catalog</a>",HVD - Core; HVD - Core,"Occasional speeches; Speeches, addresses, etc., American; Crimes against humanity",,,,,,,,,,,,,,,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA512261291250003941
,Address at the anniversary of the American Colonization Society,,,,"January 18, 1853.","Everett, Edward, 1794-1865.  ",,,,"Boston : Printed for the Massachusetts Colonization Society, 1853.",,11 p. 23 cm.,,,,,,English,Caption title.,,Slavery -- United States -- Controversial literature -- 1853; African Americans -- Colonization -- Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1853,990047718420203941,"<a href=""http://id.lib.harvard.edu/alma/990047718420203941/catalog"">http://id.lib.harvard.edu/alma/990047718420203941/catalog</a>",HVD - Core,Crimes against humanity,,,,,,,,,,,,,,,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA211929227250003941
,Selections from the writings and speeches of William Lloyd Garrison. With an appendix ..,,,,,"Garrison, William Lloyd, 1805-1879.  ",,,,"Boston, R.F. Wallcut, 1852.",,"xii, [13]-416 p. 19 cm.",,,,,,English,,,Slavery -- United States -- Controversial literature,,,,,,,,,<i>Hierarchical: </i>United States -- Massachusetts -- Boston ,,,,,,,,,,,,,,,,,,,,,1852,990021744690203941,"<a href=""http://id.lib.harvard.edu/alma/990021744690203941/catalog"">http://id.lib.harvard.edu/alma/990021744690203941/catalog</a>",HVD - Core,Crimes against humanity,,,,,,,,,,,,,,,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA211828984270003941
,"Justice and expediency; or, Slavery considered with a view to its rightful and effectual remedy, abolition",,,,By John G. Whittier ...,"Whittier, John Greenleaf, 1807-1892.  ",Justice and expediency.,,,"Haverhill : Printed by C.P. Thayer & Co., 1833.",,23 p. 22 cm.,,,,,,English,"Currier, p. 22.; Printed at the author's own expense.",,Slavery -- United States -- Controversial literature -- 1833,,,,,,,,,<i>Hierarchical: </i>United States -- Massachusetts -- Haverhill ,,,,,,,,,,,,,,,,,,,,,1833,990037658700203941,"<a href=""http://id.lib.harvard.edu/alma/990037658700203941/catalog"">http://id.lib.harvard.edu/alma/990037658700203941/catalog</a>",HVD - Core,Crimes against humanity,,,,,,,,,,,,,,,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA211895573360003941
,"Substance of the speech made by Gerrit Smith: in the capitol of the state of New York, March 11th and 12th, 1850",,,,,"Smith, Gerrit, 1797-1874.  ","Gerrit Smith's constitutional argument.",,2d ed. enl.,"Syracuse : V. W. Smith & Co., Printers, 1850.",,38 p. 22 cm.,,,,,"The ninteenth-century French painter who captured the sights of Paris talks about his life and work as if entertaining the reader for the weekend. Includes reproductions of the artist's work and a list of museums where they are on display.",English,"Cover-title: Gerrit Smith's constitutional argument.",,Slavery -- United States -- Controversial literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,990066223080203941,"<a href=""http://id.lib.harvard.edu/alma/990066223080203941/catalog"">http://id.lib.harvard.edu/alma/990066223080203941/catalog</a>",HVD - Core,Crimes against humanity,,,,,,,,,,,,,,,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA211991990260003941
,"The South: her peril, and her duty",,,,"A discourse, delivered in the First Presbyterian church, New Orleans, on Thursday, November 29, 1860, by Rev. B. M. Palmer, D.D.","Palmer, B. M. (Benjamin Morgan), 1818-1902.  ","South, her peril and her duty; <i>Caption title: </i>Thanksgiving sermon delivered in the First Presbyterian Church, New Orleans, on Thursday, November 29, 1860",,,"New Orleans, Printed at the office of the True witness and sentinel, 1860.",,16 p.,American slavery pamphlets.  ; Slavery pamphlets ; no.16  ,American slavery pamphlets.; Slavery pamphlets ; no.16,,,,English,,,Slavery -- United States -- Controversial literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860,990047952790203941,"<a href=""http://id.lib.harvard.edu/alma/990047952790203941/catalog"">http://id.lib.harvard.edu/alma/990047952790203941/catalog</a>",HVD - Core,Crimes against humanity,,,,,,,,,,,,,,,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA211932467580003941
,"The substance of a course of lectures on British colonial slavery, delivered at Bradford, York and Scarborough",,,,,"Godwin, Benjamin, 1785-1871.  ",British colonial slavery.,,,"London, J. Hatcharrd, 1830.",,"xi, 171 p. 22 cm.","Slavery, Abolition, Emancipation, and Freedom: Primary Sources from Houghton Library  ",,,,,English,Includes bibliographical references.,,"Slavery -- West Indies, British",,,,,,,Pamphlets. ,,<i>Hierarchical: </i>England -- London ,,,,,,,,,,,,,,,,,,,,,1830,990050173250203941,"<a href=""http://id.lib.harvard.edu/alma/990050173250203941/catalog"">http://id.lib.harvard.edu/alma/990050173250203941/catalog</a>",HVD - Core,Crimes against humanity,,,,,,,,,,,,,,,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA211928477290003941
,No slave-hunting in the old Bay state : an appeal to the people and legislature of Massachusetts,,,,,"Phillips, Wendell, 1811-1884  ",,,,"New York : American Anti-Slavery Society, 1860.",,23 p. ; 19 cm.,Slavery and anti-slavery: a transnational archive  ,"Anti-slavery tracts ; New series, no. 13",,,,English,"Extracts from a speech delivered February 17, 1859.; Contains extracts from speeches of Wendell Phillips, William Lloyd Garrison and Charles C. Burleigh, 1859.",,Fugitive slaves -- United States; Slavery -- United States -- Controversial literature -- 1859,,,,,,,,,,,"Garrison, William Lloyd, 1805-1879. ; Burleigh, Charles C. (Charles Calistus), 1810-1878. ; Massachusetts. General Court ",,,,,,,,,,,,,,,,,,,1860,990035983010203941,"<a href=""http://id.lib.harvard.edu/alma/990035983010203941/catalog"">http://id.lib.harvard.edu/alma/990035983010203941/catalog</a>",HVD - Core; HVD - Core,Crimes against humanity,,,,,,,,,,,,,,,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA512261688590003941
,Address to the non-slaveholders of the South : on the social and political evils of slavery,,,,,American and Foreign Anti-Slavery Society. ,Address to the non slaveholders of the South.,,,"New York : S.W. Benedict, 1843.",,26 p. ; 26 cm.,,,,,,English,"Signed: Lewis Tappan, secretary.",,Slavery -- United States -- Controversial literature -- 1843,,,,,,,,,,,"Tappan, Lewis, 1788-1873. ; Jay, William, 1789-1858 [former owner] ; Sumner, Charles, 1811-1874 [former owner] ; American and Foreign Anti-Slavery Society. Executive Committee. ",,,,,,,,,,,,,,,,,,,1843,990038523180203941,"<a href=""http://id.lib.harvard.edu/alma/990038523180203941/catalog"">http://id.lib.harvard.edu/alma/990038523180203941/catalog</a>",HVD - Core,Crimes against humanity,,,,,,,,,,,,,,,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA211907496980003941
,"Mr. Allen's speech on ministers leaving a moral kingdom to bear testimony against sin : liberty in danger, from the publication of its principles : the Constitution a shield for slavery : and the Union better than freedom and righteousness",,,,,"Allen, George, 1792-1883.  ",Speech on Ministers leaving a Moral Kingdom to bear Testimony against Sin.,,,"Boston : I. Knapp, 1838.",,46 p. ; 24 cm.,"Slavery and anti-slavery: a transnational archive  ; Slavery, Abolition, Emancipation, and Freedom: Primary Sources from Houghton Library  ",,,,,English,,,Slavery -- United States -- Controversial literature,,,,,,,Pamphlets. ,,<i>Hierarchical: </i>United States -- Massachusetts -- Boston ,,,,,,,,,,,,,,,,,,,,,1838,990038477560203941,"<a href=""http://id.lib.harvard.edu/alma/990038477560203941/catalog"">http://id.lib.harvard.edu/alma/990038477560203941/catalog</a>",HVD - Core; HVD - Core,Crimes against humanity,,,,,,,,,,,,,,,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA512262150710003941
,"The southern platform, or, Manual of southern sentiment on the subject of slavery",,,,by Daniel R. Goodloe.,"Goodloe, Daniel R. (Daniel Reaves), 1814-1902  ",Manual of southern sentiment on the subject of slavery.,,,"Boston : J.P. Jewett & Co., 1858.",,"95, [1] p. ; 23 cm.",,,,,"A collection of the writings of the most eminent southern statesmen of the Revolutionary War period, designed to show that such men as Washington, Jefferson, Henry Clay, etc., abhorred slavery even though many of them were slave owners. Designed as an anti-slavery statement to the people of the South.",English,,,Slavery -- United States -- Controversial literature; Slavery -- Southern States,,,,,,,,,<i>Hierarchical: </i>United States -- Massachusetts -- Boston ,,,,,,,,,,,,,,,,,,,,,1858,990019324200203941,"<a href=""http://id.lib.harvard.edu/alma/990019324200203941/catalog"">http://id.lib.harvard.edu/alma/990019324200203941/catalog</a>",HVD - Core,Crimes against humanity,,,,,,,,,,,,,,,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA211828289930003941
,"The Republican party : its origin, necessity and permanence",,,,"Speech of Hon. Charles Sumner, before the Young Men's Republican Union of New-York, July 11th, 1860.","Sumner, Charles, 1811-1874.  ",,,,"[New York : s.n., 1860?]",,16 p. ; 25 cm.,,,,,,English,"Caption title.; ""Issued by the Young Men's Republican Union of New-York.""",,Slavery -- United States -- Controversial literature; Campaign literature -- Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860?],990067012660203941,"<a href=""http://id.lib.harvard.edu/alma/990067012660203941/catalog"">http://id.lib.harvard.edu/alma/990067012660203941/catalog</a>",HVD - Core,"Politics, Practical; Crimes against humanity",,,,,,,,,,,,,,,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA211988006700003941
,Platform of the American Anti-Slavery Society and its auxiliaries,,,,,American Anti-Slavery Society. ,,,,"New York, American Anti-Slavery Society, 1855.",,"35, [1] p. 18 cm.","Slavery and anti-slavery: a transnational archive  ; Slavery, Abolition, Emancipation, and Freedom: Primary Sources from Houghton Library  ",,,,,English,,,"Slavery -- United States -- Societies, etc",,,,,,,Pamphlets. ,,<i>Hierarchical: </i>United States -- New York -- New York ,,,,,,,,,,,,,,,,,,,,,1855,990038518330203941,"<a href=""http://id.lib.harvard.edu/alma/990038518330203941/catalog"">http://id.lib.harvard.edu/alma/990038518330203941/catalog</a>",HVD - Core; HVD - Core,Crimes against humanity,,,,,,,,,,,,,,,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA512262149650003941
,"Letter from Francis P. Blair, to my neighbors",,,,,"Blair, Francis Preston, 1791-1876  ",Republican documents,,,"[New York? : N.Y. Evening Post?, 1856?]",,8 p. ; 24 cm.,Republican documents  ,Republican documents,,,,English,"Caption title.; Printed in double columns.; Accompanied by a printed cover letter from the author ([4] p., 20 x 12 cm.) dated September 30, 1856.",,Missouri compromise; Slavery -- United States -- Justification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1856?],990040696450203941,"<a href=""http://id.lib.harvard.edu/alma/990040696450203941/catalog"">http://id.lib.harvard.edu/alma/990040696450203941/catalog</a>",HVD - Core,Crimes against humanity; Slavery -- United States,,,,,,,,,,,,,,,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA211902887080003941
,"A letter of inquiry to ministers of the Gospel of all denominations, on slavery",,,,by a Northern Presbyter.,"Lord, Nathan, 1792-1870  ",,,,"Boston : Fetridge, 1854.",,32 p. ; 21 cm.,ATLA Historical Monographs Collection. Series 1 (13th Century to 1893)  ; Slavery and anti-slavery: a transnational archive  ,,,,,English,Cover title.,,Slavery -- United States -- Controversial literature,,,,,,,,,,,A Northern Presbyter. ,,,,,,,,,ISBN : 0524015236 (microfiche),,,,,,,,,,1854,990058662740203941,"<a href=""http://id.lib.harvard.edu/alma/990058662740203941/catalog"">http://id.lib.harvard.edu/alma/990058662740203941/catalog</a>",HVD - Core; HVD - Core,Crimes against humanity,,,,,,,,,,,,,,,https://hollis.harvard.edu/permalink/f/hg18ek/01HVD_ALMA512261803330003941
